price,quantity,seller_inflow,buyer_outflow
1.0,50.0,50.0,0.0
1.0,50.0,50.0,50.0
1.0,49.13,49.13,50.0
1.0,48.99,48.99,49.13
1.0,48.85,48.85,48.99
1.0,48.71,48.71,48.85
1.0,48.57,48.57,48.71
1.0,48.43,48.43,48.57
1.0,48.3,48.3,48.43
1.0,48.16,48.16,48.3
1.0,48.02,48.02,48.16
1.0,47.88,47.88,48.02
1.0,47.74,47.74,47.88
1.0,47.6,47.6,47.74
1.0,47.46,47.46,47.6
1.0,47.32,47.32,47.46
1.0,47.18,47.18,47.32
1.0,47.04,47.04,47.18
1.0,46.9,46.9,47.04
1.0,46.76,46.76,46.9
1.0,46.62,46.62,46.76
1.0,45.21,45.21,46.62
1.0,44.87,44.87,45.21
1.0,44.57,44.57,44.87
1.0,44.24,44.24,44.57
1.0,43.92,43.92,44.24
1.0,43.59,43.59,43.92
1.0,43.27,43.27,43.59
1.0,42.95,42.95,43.27
1.0,42.63,42.63,42.95
1.0,42.31,42.31,42.63
1.0,41.99,41.99,42.31
1.0,41.67,41.67,41.99
1.0,41.36,41.36,41.67
1.0,41.04,41.04,41.36
1.0,40.73,40.73,41.04
1.0,40.42,40.42,40.73
1.0,40.11,40.11,40.42
1.0,39.8,39.8,40.11
1.0,39.49,39.49,39.8
1.0,39.18,39.18,39.49
1.0,38.87,38.87,39.18
1.0,39.22,39.22,38.87
1.0,39.02,39.02,39.22
1.0,38.8,38.8,39.02
1.0,38.6,38.6,38.8
1.0,38.39,38.39,38.6
1.0,38.18,38.18,38.39
1.0,37.98,37.98,38.18
1.0,37.77,37.77,37.98
1.0,37.56,37.56,37.77
1.0,37.36,37.36,37.56
1.0,37.15,37.15,37.36
1.0,36.95,36.95,37.15
1.0,36.74,36.74,36.95
1.0,36.54,36.54,36.74
1.0,36.33,36.33,36.54
1.0,36.13,36.13,36.33
1.0,35.92,35.92,36.13
1.0,35.72,35.72,35.92
1.0,35.52,35.52,35.72
1.0,35.31,35.31,35.52
1.0,35.11,35.11,35.31
1.0,34.91,34.91,35.11
1.0,34.71,34.71,34.91
1.0,34.5,34.5,34.71
1.0,34.3,34.3,34.5
1.0,34.1,34.1,34.3
1.0,33.9,33.9,34.1
1.0,33.7,33.7,33.9
1.0,33.5,33.5,33.7
1.0,33.3,33.3,33.5
1.0,33.1,33.1,33.3
1.0,32.9,32.9,33.1
1.0,32.7,32.7,32.9
1.0,32.5,32.5,32.7
1.0,32.21,32.21,32.5
1.0,32.0,32.0,32.21
1.0,31.79,31.79,32.0
1.0,31.58,31.58,31.79
1.0,31.46,31.46,31.58
1.0,31.27,31.27,31.46
1.0,31.07,31.07,31.27
1.0,30.88,30.88,31.07
1.0,30.68,30.68,30.88
1.0,30.49,30.49,30.68
1.0,30.29,30.29,30.49
1.0,30.1,30.1,30.29
1.0,29.91,29.91,30.1
1.0,29.71,29.71,29.91
1.0,29.57,29.57,29.71
1.0,29.44,29.44,29.57
1.0,29.26,29.26,29.44
1.0,29.08,29.08,29.26
1.0,28.91,28.91,29.08
1.0,28.73,28.73,28.91
1.0,28.56,28.56,28.73
1.0,28.38,28.38,28.56
1.0,28.21,28.21,28.38
1.0,28.03,28.03,28.21
1.0,27.86,27.86,28.03
1.0,27.69,27.69,27.86
1.0,27.57,27.57,27.69
1.0,27.4,27.4,27.57
1.0,27.24,27.24,27.4
1.0,27.07,27.07,27.24
1.0,26.91,26.91,27.07
1.0,26.74,26.74,26.91
1.0,26.58,26.58,26.74
1.0,26.42,26.42,26.58
1.0,26.25,26.25,26.42
1.0,26.09,26.09,26.25
1.0,25.93,25.93,26.09
1.0,25.77,25.77,25.93
1.0,25.6,25.6,25.77
1.0,25.44,25.44,25.6
1.0,25.28,25.28,25.44
1.0,25.12,25.12,25.28
1.0,24.96,24.96,25.12
1.0,24.8,24.8,24.96
1.0,24.64,24.64,24.8
1.0,24.48,24.48,24.64
1.0,24.32,24.32,24.48
1.0,24.16,24.16,24.32
1.0,24.0,24.0,24.16
1.0,23.84,23.84,24.0
1.0,23.68,23.68,23.84
1.0,23.53,23.53,23.68
1.0,23.37,23.37,23.53
1.0,23.21,23.21,23.37
1.0,23.05,23.05,23.21
1.0,22.9,22.9,23.05
1.0,22.74,22.74,22.9
1.0,22.59,22.59,22.74
1.0,22.43,22.43,22.59
1.0,22.28,22.28,22.43
1.0,22.12,22.12,22.28
1.0,21.97,21.97,22.12
1.0,21.81,21.81,21.97
1.0,21.66,21.66,21.81
1.0,21.51,21.51,21.66
1.0,21.35,21.35,21.51
1.0,21.2,21.2,21.35
1.0,21.14,21.14,21.2
1.0,21.0,21.0,21.14
1.0,20.86,20.86,21.0
1.0,20.72,20.72,20.86
1.0,20.58,20.58,20.72
1.0,20.45,20.45,20.58
1.0,20.31,20.31,20.45
1.0,20.17,20.17,20.31
1.0,20.04,20.04,20.17
1.0,19.9,19.9,20.04
1.0,19.76,19.76,19.9
1.0,19.63,19.63,19.76
1.0,19.49,19.49,19.63
1.0,19.36,19.36,19.49
1.0,19.22,19.22,19.36
1.0,19.09,19.09,19.22
1.0,18.95,18.95,19.09
1.0,18.82,18.82,18.95
1.0,18.69,18.69,18.82
1.0,18.55,18.55,18.69
1.0,18.42,18.42,18.55
1.0,18.29,18.29,18.42
1.0,18.16,18.16,18.29
1.0,18.08,18.08,18.16
1.0,17.96,17.96,18.08
1.0,17.84,17.84,17.96
1.0,17.72,17.72,17.84
1.0,17.6,17.6,17.72
1.0,17.47,17.47,17.6
1.0,17.35,17.35,17.47
1.0,17.23,17.23,17.35
1.0,17.11,17.11,17.23
1.0,16.99,16.99,17.11
1.0,16.87,16.87,16.99
1.0,16.75,16.75,16.87
1.0,16.63,16.63,16.75
1.0,16.51,16.51,16.63
1.0,16.39,16.39,16.51
1.0,16.27,16.27,16.39
1.0,16.15,16.15,16.27
1.0,16.04,16.04,16.15
1.0,15.92,15.92,16.04
1.0,15.8,15.8,15.92
1.0,15.68,15.68,15.8
1.0,15.57,15.57,15.68
1.0,15.45,15.45,15.57
1.0,15.4,15.4,15.45
1.0,15.3,15.3,15.4
1.0,15.19,15.19,15.3
1.0,15.09,15.09,15.19
1.0,14.98,14.98,15.09
1.0,14.88,14.88,14.98
1.0,14.77,14.77,14.88
1.0,14.67,14.67,14.77
1.0,14.57,14.57,14.67
1.0,14.46,14.46,14.57
1.0,14.36,14.36,14.46
1.0,14.26,14.26,14.36
1.0,14.15,14.15,14.26
1.0,14.05,14.05,14.15
1.0,13.95,13.95,14.05
1.0,13.85,13.85,13.95
1.0,13.74,13.74,13.85
1.0,13.7,13.7,13.74
1.0,13.6,13.6,13.7
1.0,13.51,13.51,13.6
1.0,13.42,13.42,13.51
1.0,13.32,13.32,13.42
1.0,13.23,13.23,13.32
1.0,13.14,13.14,13.23
1.0,13.05,13.05,13.14
1.0,12.96,12.96,13.05
1.0,12.91,12.91,12.96
1.0,12.82,12.82,12.91
1.0,12.74,12.74,12.82
1.0,12.65,12.65,12.74
1.0,12.57,12.57,12.65
1.0,12.49,12.49,12.57
1.0,12.4,12.4,12.49
1.0,12.32,12.32,12.4
1.0,12.23,12.23,12.32
1.0,12.15,12.15,12.23
1.0,12.07,12.07,12.15
1.0,11.99,11.99,12.07
1.0,11.9,11.9,11.99
1.0,11.82,11.82,11.9
1.0,11.74,11.74,11.82
1.0,11.66,11.66,11.74
1.0,11.63,11.63,11.66
1.0,11.55,11.55,11.63
1.0,11.48,11.48,11.55
1.0,11.41,11.41,11.48
1.0,11.33,11.33,11.41
1.0,11.26,11.26,11.33
1.0,11.19,11.19,11.26
1.0,11.11,11.11,11.19
1.0,11.04,11.04,11.11
1.0,10.97,10.97,11.04
1.0,10.89,10.89,10.97
1.0,10.82,10.82,10.89
1.0,10.75,10.75,10.82
1.0,10.68,10.68,10.75
1.0,10.65,10.65,10.68
1.0,10.58,10.58,10.65
1.0,10.51,10.51,10.58
1.0,10.45,10.45,10.51
1.0,10.38,10.38,10.45
1.0,10.32,10.32,10.38
1.0,10.25,10.25,10.32
1.0,10.19,10.19,10.25
1.0,10.12,10.12,10.19
1.0,10.09,10.09,10.12
1.0,10.03,10.03,10.09
1.0,9.97,9.97,10.03
1.0,9.91,9.91,9.97
1.0,9.86,9.86,9.91
1.0,9.8,9.8,9.86
1.0,9.74,9.74,9.8
1.0,9.68,9.68,9.74
1.0,9.62,9.62,9.68
1.0,9.56,9.56,9.62
1.0,9.5,9.5,9.56
1.0,9.44,9.44,9.5
1.0,9.39,9.39,9.44
1.0,9.33,9.33,9.39
1.0,9.27,9.27,9.33
1.0,9.21,9.21,9.27
1.0,9.15,9.15,9.21
1.0,9.1,9.1,9.15
1.0,9.04,9.04,9.1
1.0,8.98,8.98,9.04
1.0,8.92,8.92,8.98
1.0,8.87,8.87,8.92
1.0,8.81,8.81,8.87
1.0,8.75,8.75,8.81
1.0,8.7,8.7,8.75
1.0,8.64,8.64,8.7
1.0,8.58,8.58,8.64
1.0,8.53,8.53,8.58
1.0,8.47,8.47,8.53
1.0,8.41,8.41,8.47
1.0,8.36,8.36,8.41
1.0,8.3,8.3,8.36
1.0,8.25,8.25,8.3
1.0,8.19,8.19,8.25
1.0,8.14,8.14,8.19
1.0,8.08,8.08,8.14
1.0,8.03,8.03,8.08
1.0,7.97,7.97,8.03
1.0,7.92,7.92,7.97
1.0,7.86,7.86,7.92
1.0,7.81,7.81,7.86
1.0,7.75,7.75,7.81
1.0,7.7,7.7,7.75
1.0,7.65,7.65,7.7
1.0,7.59,7.59,7.65
1.0,7.54,7.54,7.59
1.0,7.58,7.58,7.54
1.0,7.54,7.54,7.58
1.0,7.5,7.5,7.54
1.0,7.46,7.46,7.5
1.0,7.42,7.42,7.46
1.0,7.38,7.38,7.42
1.0,7.34,7.34,7.38
