price,quantity,seller_inflow,buyer_outflow
1.0,50.0,50.0,0.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,50.0,50.0,50.0
1.0,55.21,55.21,50.0
1.0,55.21,55.21,55.21
1.0,55.21,55.21,55.21
1.0,55.21,55.21,55.21
1.0,55.21,55.21,55.21
1.0,55.21,55.21,55.21
1.0,55.21,55.21,55.21
1.0,55.21,55.21,55.21
1.0,55.21,55.21,55.21
1.0,55.21,55.21,55.21
1.0,55.21,55.21,55.21
1.0,55.21,55.21,55.21
1.0,55.21,55.21,55.21
1.0,55.21,55.21,55.21
1.0,55.21,55.21,55.21
1.0,55.21,55.21,55.21
1.0,55.21,55.21,55.21
1.0,55.21,55.21,55.21
1.0,55.21,55.21,55.21
1.0,57.67,57.67,55.21
1.0,57.67,57.67,57.67
1.0,57.67,57.67,57.67
1.0,57.67,57.67,57.67
1.0,57.67,57.67,57.67
1.0,57.67,57.67,57.67
1.0,57.67,57.67,57.67
1.0,57.67,57.67,57.67
1.0,57.67,57.67,57.67
1.0,57.67,57.67,57.67
1.0,57.67,57.67,57.67
1.0,57.67,57.67,57.67
1.0,57.67,57.67,57.67
1.0,57.67,57.67,57.67
1.0,57.67,57.67,57.67
1.0,57.67,57.67,57.67
1.0,57.67,57.67,57.67
1.0,57.67,57.67,57.67
1.0,57.67,57.67,57.67
1.0,60.0,60.0,57.67
1.0,60.0,60.0,60.0
1.0,60.0,60.0,60.0
1.0,60.0,60.0,60.0
1.0,60.0,60.0,60.0
1.0,60.0,60.0,60.0
1.0,60.0,60.0,60.0
1.0,60.0,60.0,60.0
1.0,60.0,60.0,60.0
1.0,60.0,60.0,60.0
1.0,60.0,60.0,60.0
1.0,62.24,62.24,60.0
1.0,62.24,62.24,62.24
1.0,62.24,62.24,62.24
1.0,62.24,62.24,62.24
1.0,62.24,62.24,62.24
1.0,62.24,62.24,62.24
1.0,62.24,62.24,62.24
1.0,64.43,64.43,62.24
1.0,64.43,64.43,64.43
1.0,64.43,64.43,64.43
1.0,64.43,64.43,64.43
1.0,64.43,64.43,64.43
1.0,64.43,64.43,64.43
1.0,64.43,64.43,64.43
1.0,64.43,64.43,64.43
1.0,64.43,64.43,64.43
1.0,64.43,64.43,64.43
1.0,64.43,64.43,64.43
1.0,64.43,64.43,64.43
1.0,64.43,64.43,64.43
1.0,64.43,64.43,64.43
1.0,64.43,64.43,64.43
1.0,64.43,64.43,64.43
1.0,64.43,64.43,64.43
1.0,66.28,66.28,64.43
1.0,66.28,66.28,66.28
1.0,66.28,66.28,66.28
1.0,66.28,66.28,66.28
1.0,66.28,66.28,66.28
1.0,66.28,66.28,66.28
1.0,68.14,68.14,66.28
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,68.14,68.14,68.14
1.0,66.95,66.95,68.14
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,66.95,66.95,66.95
1.0,65.72,65.72,66.95
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
1.0,65.72,65.72,65.72
