keynesian,marshallian
605,1110
457,1466
737,1559
1817,1178
1255,515
530,728
941,1473
281,1340
683,1692
707,1543
444,2043
479,1326
193,1331
649,1375
775,1152
717,1734
394,1492
981,1004
828,1404
719,1370
784,950
360,798
1011,795
11147,1166
747,1070
941,1320
883,1151
602,1169
994,361
558,1540
821,478
1037,1424
1439,1402
579,1230
711,1247
809,1424
830,1768
1128,948
680,1677
553,1599
934,1620
943,1422
715,1534
885,332
551,1545
null,1206
1821,1747
565,1943
596,1306
2130,1379
1057,1194
500,780
497,1420
1398,1386
698,1437
956,835
809,1082
600,1084
558,1350
1130,1836
null,1783
1299,1513
541,1424
494,1343
817,1535
1301,1459
1419,1280
942,1570
1123,1759
798,1512
null,1550
1154,1195
null,1342
971,691
null,1012
7166,1408
579,1242
553,1354
1196,1501
696,1478
1448,1627
881,1172
608,1191
1184,1607
1775,809
563,2032
615,1454
688,970
561,1267
579,1588
372,1417
831,1490
1076,1718
1058,1147
null,1282
934,1495
693,1398
648,1585
1191,1167
1414,731
778,1214
1418,1617
658,1135
1863,1458
538,1589
744,1304
669,1001
1135,1173
510,1465
917,1743
470,1571
454,1973
925,1377
830,975
707,1410
947,970
882,1841
823,503
699,1635
703,1548
719,1278
324,740
560,1680
1591,1824
1439,420
608,1231
853,1856
877,383
446,1217
551,1596
null,1695
847,1245
778,1504
1400,762
799,1709
529,805
731,1708
1109,1293
606,1940
969,1784
null,788
539,889
581,469
669,1409
1145,854
3250,1177
408,1595
849,1395
400,1233
770,1350
818,1408
484,901
640,1805
1063,1431
1036,647
1020,791
599,1935
625,1369
1151,1611
1095,571
578,1423
833,1584
631,1281
309,743
437,983
1065,434
1776,1220
495,1422
513,1311
833,1243
1209,345
787,1330
682,379
950,1218
596,769
780,1527
null,1547
1381,1614
342,1575
1307,673
2000,983
413,1731
1789,1931
744,391
1032,1476
683,645
658,1460
1585,1453
533,1542
685,1368
527,1536
774,1215
664,1699
1417,1638
2433,1277
801,1737
1051,436
783,1561
1054,1043
613,1436
654,1661
null,663
596,1389
762,1798
591,1126
971,1427
832,1215
1340,1127
673,2101
681,1223
713,1620
938,1404
601,1415
625,864
655,1290
352,1317
618,1310
622,561
701,1613
null,490
14840,1592
641,1453
550,1381
527,980
790,1637
291,1736
536,1366
657,1360
643,762
944,1598
616,792
858,644
1442,1781
572,1555
null,1647
524,526
1452,1819
480,1894
1668,1481
835,983
437,1298
761,885
913,1572
1813,813
1202,1375
1575,1797
413,1419
638,958
1124,1415
725,1103
646,1309
602,1364
772,1200
555,1467
901,1557
613,1353
1002,1300
1003,964
744,1847
935,1715
783,1355
530,1399
1687,506
1008,1664
510,507
547,832
558,1328
858,1301
1800,1559
1028,1540
579,1284
680,1103
null,1252
633,1142
1016,1391
600,610
961,1409
485,1657
690,1449
750,1219
2325,435
1034,1592
868,507
597,529
1419,1177
749,1236
630,801
1432,1561
734,1305
1918,1133
389,1398
298,1183
612,913
793,1012
877,1760
1677,654
434,1234
